time,Acres_Burned,Containment,particulate_size,value
2017-12-05T00:00:00Z,50000,0,PM10,68
2017-12-05T00:00:00Z,50000,0,PM25,149
2017-12-06T00:00:00Z,90000,5,PM10,93
2017-12-06T00:00:00Z,90000,5,PM25,194
2017-12-07T00:00:00Z,115000,5,PM10,NA
2017-12-07T00:00:00Z,115000,5,PM25,281
2017-12-08T00:00:00Z,143000,10,PM10,95
2017-12-08T00:00:00Z,143000,10,PM25,177
2017-12-09T00:00:00Z,155000,15,PM10,109
2017-12-09T00:00:00Z,155000,15,PM25,172
2017-12-10T00:00:00Z,230000,10,PM10,107
2017-12-10T00:00:00Z,230000,10,PM25,172
2017-12-11T00:00:00Z,231700,20,PM10,141
2017-12-11T00:00:00Z,231700,20,PM25,169
2017-12-12T00:00:00Z,23600,25,PM10,117
2017-12-12T00:00:00Z,23600,25,PM25,169
2017-12-13T00:00:00Z,238500,30,PM10,100
2017-12-13T00:00:00Z,238500,30,PM25,164
2017-12-14T00:00:00Z,249500,35,PM10,96
2017-12-14T00:00:00Z,249500,35,PM25,155
2017-12-15T00:00:00Z,256000,35,PM10,82
2017-12-15T00:00:00Z,256000,35,PM25,148
2017-12-16T00:00:00Z,267500,40,PM10,125
2017-12-16T00:00:00Z,267500,40,PM25,160
2017-12-17T00:00:00Z,270000,45,PM10,97
2017-12-17T00:00:00Z,270000,45,PM25,114
2017-12-18T00:00:00Z,271000,50,PM10,61
2017-12-18T00:00:00Z,271000,50,PM25,66
2017-12-19T00:00:00Z,272000,55,PM10,52
2017-12-19T00:00:00Z,272000,55,PM25,61
2017-12-20T00:00:00Z,272000,60,PM10,32
2017-12-20T00:00:00Z,272000,60,PM25,57
2017-12-21T00:00:00Z,272600,65,PM10,38
2017-12-21T00:00:00Z,272600,65,PM25,36
2017-12-22T00:00:00Z,273400,65,PM10,31
2017-12-22T00:00:00Z,273400,65,PM25,38
2017-12-23T00:00:00Z,273400,70,PM10,25
2017-12-23T00:00:00Z,273400,70,PM25,25
2017-12-24T00:00:00Z,281620,86,PM10,26
2017-12-24T00:00:00Z,281620,86,PM25,39
2017-12-25T00:00:00Z,281620,86,PM10,27
2017-12-25T00:00:00Z,281620,86,PM25,53
2017-12-26T00:00:00Z,281620,88,PM10,36
2017-12-26T00:00:00Z,281620,88,PM25,56
2017-12-27T00:00:00Z,281893,91,PM10,40
2017-12-27T00:00:00Z,281893,91,PM25,57
2017-12-28T00:00:00Z,281893,91,PM10,39
2017-12-28T00:00:00Z,281893,91,PM25,45
2017-12-29T00:00:00Z,281893,92,PM10,38
2017-12-29T00:00:00Z,281893,92,PM25,37
2017-12-30T00:00:00Z,281893,92,PM10,20
2017-12-30T00:00:00Z,281893,92,PM25,45
2017-12-31T00:00:00Z,281893,92,PM10,22
2017-12-31T00:00:00Z,281893,92,PM25,58
2018-01-01T00:00:00Z,281893,92,PM10,22
2018-01-01T00:00:00Z,281893,92,PM25,53
2018-01-02T00:00:00Z,281893,92,PM10,33
2018-01-02T00:00:00Z,281893,92,PM25,48
2018-01-03T00:00:00Z,281893,92,PM10,43
2018-01-03T00:00:00Z,281893,92,PM25,43
2018-01-04T00:00:00Z,281893,92,PM10,27
2018-01-04T00:00:00Z,281893,92,PM25,45
2018-01-05T00:00:00Z,281893,92,PM10,10
2018-01-05T00:00:00Z,281893,92,PM25,23
2018-01-06T00:00:00Z,281893,92,PM10,13
2018-01-06T00:00:00Z,281893,92,PM25,28
2018-01-07T00:00:00Z,281893,92,PM10,19
2018-01-07T00:00:00Z,281893,92,PM25,51
2018-01-08T00:00:00Z,281893,92,PM10,14
2018-01-08T00:00:00Z,281893,92,PM25,27
2018-01-09T00:00:00Z,281893,92,PM10,7
2018-01-09T00:00:00Z,281893,92,PM25,13
2018-01-10T00:00:00Z,281893,92,PM10,26
2018-01-10T00:00:00Z,281893,92,PM25,23
2018-01-11T00:00:00Z,281893,92,PM10,32
2018-01-11T00:00:00Z,281893,92,PM25,53
2018-01-12T00:00:00Z,281893,100,PM10,50
2018-01-12T00:00:00Z,281893,100,PM25,50
